name,level,branch,summary,strength,agility,endurance,intelligence,education,charisma,will,essence,initiative,skills,ranks,paths,lateral,mastery,signature,equipment,income,description
Entertainer,1,Civilian,Performer / Stage Personality,,,,,,+1,+1,,,Focus 1; Streetwise 1; Persuade 1; Psychology 1; Disguise 0,Art:+2; Kn:City; Lang:+1; Cont:local,National Hit; Reporter,Any level one career,,,,,"The Entertainer is a charismatic performer who captivates audiences through music, comedy, or other stage talents. With modest boosts to Charisma and Willpower, they possess the magnetic personality and mental resilience needed to perform under pressure. Their skillset includes focus, streetwise, persuasion, and psychology, reflecting the social intelligence required to read crowds and navigate the entertainment industry. Their artistic connections and knowledge of the city give them a local following, while their language skills broaden their appeal. The Entertainer is the starting point for those dreaming of becoming a National Hit or leveraging their visibility into a career as a Reporter."
Guide,1,Civilian,Tour Guide / Wilderness Escort,,,+1,+1,+1,,,,,Admin 0; Focus 1; First-Aid 1; Perception 1; Pistols 0; Psychology 1; Streetwise 1; Instinct 1; Treatment 2; Rifles 0; Melee 0,Kn:City; Lang:+1; Cont:Legal,Doctor; Ripperdoc,Any level one career,,,,,"The Guide is a knowledgeable escort who leads others through unfamiliar territory, whether city streets or wilderness trails. With modest boosts to Endurance, Intelligence, and Education, they possess the stamina and mental acuity to navigate and inform. Their skillset combines focus, first aid, perception, psychology, streetwise, and instinct, with notably strong treatment skills, making them surprisingly capable in emergency medical situations. Their connections to legal circles and knowledge of the city make them valuable in urban environments. The Guide is a versatile starting point, with paths leading to medical careers as a Doctor or Ripperdoc."
Journalist,1,Civilian,News Writer / Field Reporter,,,,+1,+1,+1,,,,Admin 1; Focus 0; Perception 1; Interrogate 1; Persuade 1; Psychology 0; Streetwise 0; Stealth 0; Bribe 0,Art:Writing; Cont:3,Reporter; Whistle Blower; National Hit,Any level one career,,,,,"The Journalist is a writer and investigator who gathers, verifies, and reports news to the public. With modest boosts to Intelligence, Education, and Charisma, they possess the analytical and social skills needed to chase stories and interview sources. Their skillset includes administration, perception, interrogation, persuasion, and psychology, providing the tools to dig for information and get people to talk. Their artistic writing connections and broad contact network help them publish and distribute their work. The Journalist is the starting point for media careers, with paths leading to investigative reporting or whistleblowing."
Mechanic,1,Civilian,Repair Technician / Garage Hand,+1,,+1,,+1,,,,,Electrical 1; Focus 1; Mechanical 1; ScanLoc 1; Perception 0; Streetwise 0; Bypass 1,Kn:City; Lang:Add1; Cont:Breaker; Drive,Engineer; Ripperdoc,Any level one career,,,,,"The Mechanic is a hands-on technician who repairs and maintains vehicles and machinery, working in garages, workshops, or industrial settings. With modest boosts to Strength, Endurance, and Education, they possess the physical capability and technical knowledge needed for the job. Their skillset introduces electrical, mechanical, scanning, bypass, and focus skills, providing the core competencies of a tradesperson. Their connections to breakers (parts dealers) and driving skills round out their practical skill set. The Mechanic is a practical starting point, with paths leading to Engineering or the more specialized world of ripperdoc work."
Paramedic,1,Civilian,Emergency Medical Responder / Field Medic,,,+1,+1,+1,,,,,Admin 0; Focus 1; First-Aid 1; Perception 1; Pistols 0; Psychology 1; Streetwise 1; Instinct 1; Treatment 2; Rifles 0; Melee 0,Kn:City; Lang:+1; Cont:*Legal,Doctor; Ripperdoc,Any level one career,,,,,"The Paramedic is a first responder who provides emergency medical care in the field, stabilizing patients and transporting them to definitive care. With modest boosts to Endurance, Intelligence, and Education, they possess the stamina and medical knowledge needed for high-pressure situations. Their skillset combines focus, first aid, perception, psychology, streetwise, and instinct with notably strong treatment skills, making them effective at diagnosing and managing medical emergencies in chaotic environments. Their knowledge of the city and connections to legal circles help them navigate the emergency response system. The Paramedic is a starting point for medical careers, with paths leading to becoming a Doctor or a Ripperdoc."
Wage Slave,1,Civilian,Corporate Employee / Entry-Level Worker,,,,+1,+1,,,,,Admin 1; Focus 1; Persuade 0; Psychology 0; Coding 1,Cont:Corpo,Corpo; Businessman,Any level one career,,,,,"The Wage Slave is an entry-level corporate employee, performing routine tasks and learning the ropes of the business world. With modest boosts to Intelligence and Education, they possess the analytical foundation needed for office work. Their skillset includes administration, focus, persuasion, psychology, and coding, providing the basics of corporate productivity. Their connections to corporate circles give them a foothold in the business world. The Wage Slave is the starting point for corporate careers, with paths leading to Corpo or Businessman roles."
Carjacker,1,Criminal,Vehicle Thief / Street Opportunist,,+1,,,,,,,+1,Intimidate 1; Melee 1; Perception 1; Pistols 1; Streetwise 1; Athletics 0; Bypass 1,Cont:Breaker; Kn:City; Drive,Getaway Driver; Bank Robber; Smuggler,Any level one career,,,,,"The Carjacker is a street-level criminal who steals vehicles through force or opportunity, often serving as the entry point into more serious criminal enterprises. With modest boosts to Agility and Initiative, they rely on speed and quick reactions rather than brute strength. Their skillset includes intimidation, melee, pistols, streetwise, and bypass, reflecting the hands-on nature of vehicle theft. Their knowledge of the city and connections to breakers (chop shops) provide a ready market for stolen vehicles. The Carjacker is a small-time operator with big ambitions, eyeing the jump to getaway driving, bank robbery, or smuggling."
Crook,1,Criminal,Petty Criminal / Small-Time Hustler,,+1,,+1,,,,,,Thief 1; Gambling 1; Intimidate 1; Melee 1; Perception 0; Persuade 1; Pistols 1; Psychology 0; Stealth 0; Streetwise 1; Bypass 1; Athletics 1,Kn:City2; Cont:Fence,Fence; Face; Made Man; Enforcer,Any level one career,,,,,"The Crook is a small-time criminal who engages in a variety of petty crimes, from theft to cons, learning the ropes of the underworld. With modest boosts to Agility and Intelligence, they rely on cunning and quick hands rather than brute force. Their skillset is broad but shallow, covering theft, gambling, intimidation, melee, pistols, streetwise, and bypass, reflecting the jack-of-all-trades nature of street-level crime. Their connections to fences and knowledge of the city give them a foothold in the criminal economy. The Crook is the gateway to more specialized criminal careers, with paths leading to fencing, facing, organized crime, or enforcement."
Ganger,1,Criminal,Street Gang Member / Turf Defender,+1,,+1,,,,+1,,,Melee 1; Intimidate 1; Perception 0; Pistols 1; Veteran 1; Rifles 0; Streetwise 1; Athletics 0; Kn:City 1; Psychology 0; Honour 1,Ride; Cont:Gang; Drive,Enforcer; Sgt-at-Arms; Made Man; Shot Caller,Any level one career,,,,,"The Ganger is a member of a street gang, bound by loyalty to their crew and engaged in territorial disputes and petty crime. With modest boosts to Strength, Endurance, and Willpower, they have the physical toughness and stubborn determination needed for gang life. Their skillset covers the essentials of street-level combat and survival: melee, intimidation, pistols, veteran experience, streetwise, and honor, reflecting the code of the streets. Their connections to their gang and knowledge of the city form the foundation of their social network. The Ganger is the bottom rung of organized crime, with paths leading to enforcement, sergeant-at-arms, made man, or shot caller."
Grifter,1,Criminal,Con Artist / Confidence Trickster,,+1,,+1,,+1,,,,Bribe 1; Gambling 1; Perception 1; Persuade 1; Psychology 1; Streetwise 1; Thief 1; Athletics 1,Cont:*Crim+1; Kn:City; Kn:Lang:+2,Face; Fence; Smuggler; Made Man,Any level one career,,,,,"The Grifter is a confidence trickster who lives by their wits, using charm and deception to separate marks from their money. With modest boosts to Agility, Intelligence, and Charisma, they possess the quick thinking, physical grace, and social magnetism essential for running cons. Their skillset spans bribery, gambling, perception, persuasion, psychology, streetwise, theft, and athletics, reflecting the versatile skill set needed to adopt personas, read victims, and slip away when the con is complete. Their knowledge of the city and multiple languages allows them to target a wide range of victims. The Grifter is the starting point for specialized criminal social roles, with paths to becoming a Face, Fence, Smuggler, or Made Man."
Home Invader,1,Criminal,Residential Burglar / Violent Intruder,+1,,+1,,,,,,,Intimidate 1; Melee 1; Perception 1; Pistols 1; Psychology 1; Stealth 1; Streetwise 1; Interrogate 0; Bypass 0,Cont:Fence; Drive,B&E Expert; Fence; Killer,Any level one career,,,,,"The Home Invader is a criminal who forcibly enters homes to steal valuables, using intimidation and violence to control occupants. With modest boosts to Strength and Endurance, they rely on physical presence and the shock of confrontation. Their skillset covers intimidation, melee, perception, pistols, psychology, stealth, and streetwise, providing the tools to case targets, gain entry, and control situations through fear. Their connections to fences provide a market for stolen goods. The Home Invader is an entry-level violent criminal, with paths leading to specialized B&E work, fencing, or contract killing."
Inmate,1,Criminal,Convicted Criminal / Prison Survivor,+1,+1,+1,,,,+1,,,Melee 1; Intimidate 1; Perception 0; Honour 1; Veteran 1; Contacts 1; Athletics 0; Psychology 0; Persuade 0; Gambling 1,Cont:Prison; Cont:*Criminal,ShotCaller; BankRobber; Enforcer; Smuggler,Any level one career,,,,,"The Inmate is someone currently serving time in prison, using the experience to build connections, toughen up, and plan their next move upon release. With modest boosts to Strength, Agility, Endurance, and Willpower, they have developed the physical and mental resilience needed to survive incarceration. Their skillset covers melee, intimidation, honor, veteran experience, athletics, gambling, and basic social skills, reflecting the harsh education of prison life. Their connections to prison networks and the broader criminal underworld provide a foundation for post-release criminal careers. The Inmate uses their time inside as a crucible, with paths leading to shot calling, bank robbery, enforcement, or smuggling."
Sex Worker,1,Criminal,Entertainment Provider / Adult Industry Worker,,+1,,,+1,+1,,,,Thief 1; Athletics 1; First-Aid 1; Melee 0; Perception 0; Persuade 1; Pistols 1; Psychology 1; Streetwise 1; Interrogate 0; Disguise 1,Cont:*Crimin,Face; Fence; Made Man,Any level one career,,,,,"The Sex Worker is an adult industry professional who provides companionship and intimacy services, often navigating the gray areas of the law and society. With modest boosts to Agility, Education, and Charisma, they possess the physical appeal, social intelligence, and mental acuity needed for their work. Their skillset includes theft, athletics, first aid, persuasion, pistols, psychology, streetwise, and disguise, reflecting the diverse skills required to survive in a dangerous profession. Their connections to the criminal underworld provide protection and clientele. The Sex Worker is a survivor on the margins, with paths leading to facing, fencing, or organized crime roles."
Thug,1,Criminal,Street Brawler / Muscle,+1,,+1,,,,,,+1,First-Aid 0; Melee 1; Perception 0; Intimidate 1; Streetwise 1; Pistols 1; Psychology 0; Veteran 1,Kn:City; Cont:*Crimin; Drive; Ride,Enforcer; Sgt-at-Arms; Made man; Killer,Any level one career,,,,,"The Thug is a street-level enforcer who uses brute force and intimidation to settle disputes and collect debts. With modest boosts to Strength, Endurance, and Initiative, they possess the physical presence and quick reflexes needed for brawling. Their skillset covers first aid, melee, perception, intimidation, streetwise, pistols, and veteran experience, reflecting the simple but effective tactics of street violence. Their knowledge of the city and connections to criminal circles give them a foothold in the underworld. The Thug is the raw muscle of the criminal world, with paths leading to enforcement, sergeant-at-arms, made man, or killer roles."
Archeo,1,Intellectual,Field Researcher / Antiquities Student,,,,+1,+1,,,,,Admin 1; Perception 1; ScanLoc 1; Lore 1; Ritual 1,Cont:Academ; LngLatin; Lng+2; Hst+3; Drive,Archeologist; Historian,Any level one career,,,,,"The Archeo is a student of ancient civilizations, learning the methods of excavation and historical research. With modest Intelligence and Education boosts, they possess the analytical mindset needed to study the past. Their skillset includes administration, perception, scanning, lore, and basic ritual knowledge, reflecting the blend of academic study and fieldwork that defines archaeology. Their connections to academic institutions and proficiency in Latin and additional languages open doors to ancient texts and scholarly networks. The Archeo is the starting point for those drawn to uncover the secrets of lost ages."
Business,1,Intellectual,Business Student / Corporate Aspirant,,,,+1,+1,+1,,,,Admin 1; Perception 0; Persuade 1; Psychology 1; Law 0; Gambling 1,Cont:Corpo; Drive; Cont:Academ,Businessman; Corpo,Any level one career,,,,,"The Business career represents the starting point for those pursuing a path in commerce and corporate management. With modest boosts to Intelligence, Education, and Charisma, they possess the foundational traits for understanding markets and dealing with people. Their skillset includes administration, persuasion, psychology, and gambling, reflecting the blend of analytical and interpersonal skills needed in the business world. Their corporate and academic connections provide early networking opportunities. The Business career is the first rung on the ladder toward becoming a Businessman or joining the corporate ranks as a Corpo."
Engineering,1,Intellectual,Engineering Student / Technical Foundations,,,,+1,+1,,,,,Admin 0; ScanLoc 1; Electrical 1; Bypass 0; Electronics 1; Mechanical 1; Perception 0; Coding 1,Vtol; Cont:Academ,Engineer,Any level one career,,,,,"The Engineering career represents the starting point for those pursuing technical education and hands-on problem-solving. With modest boosts to Intelligence and Education, they possess the analytical foundation needed to understand complex systems. Their skillset introduces scanning, electrical, electronics, mechanical, and coding, providing the core competencies of an engineer, supplemented by basic administration and bypass skills. Their connections to academic institutions and familiarity with VTOL technology hint at specialized training. The Engineering student is the first step toward becoming a full Engineer, with a path focused on technical mastery."
History,1,Intellectual,History Student / Scholarly Initiate,,,,+1,+1,,,,,Admin 1; Perception 1; Lore 1; Ritual 0,Lng+2; LngLatin; Hst+3; Cont:Academ,Historian,Any level one career,,,,,"The History career represents the starting point for those drawn to the study of the past and its relevance to the present. With modest boosts to Intelligence and Education, they possess the analytical foundation needed for historical research. Their skillset introduces administration, perception, lore, and basic ritual, providing the tools for archival research and understanding the connection between history and the occult. Their language proficiencies, including Latin, and extensive historical knowledge give them a head start in academic circles. The History student is poised to become a Historian, with potential to branch into archaeology or business."
Law,1,Intellectual,Law Student / Legal Foundations,,,,+1,+1,,,,,Admin 1; Perception 0; Persuade 2; Intimidate 0; Psychology 1; Law 1,Cont:Govt; Cont:Academ,Lawyer; Businessman; Corpo,Any level one career,,,,,"The Law career represents the starting point for those pursuing legal education and a career in the justice system. With modest boosts to Intelligence and Education, they possess the analytical foundation needed to study statutes, precedents, and legal theory. Their skillset includes administration, persuasion, psychology, and law, reflecting the blend of research and argumentation that defines legal practice. Their connections to government and academic institutions provide internships and networking opportunities. The Law student is the first step toward becoming a Lawyer, with potential to branch into business or corporate paths."
Medical,1,Intellectual,Medical Student / Healthcare Trainee,,,,+1,+1,,,,,Admin 0; First-Aid 1; ScanLoc 0; Psychology 0; Surgery 0; Treatment 1,Lng:Latin; Sci:Biology; Cont:Academ,Doctor; Ripperdoc,Any level one career,,,,,"The Medical career represents the starting point for those pursuing healthcare and medical practice. With modest boosts to Intelligence and Education, they possess the analytical foundation needed to study anatomy, pharmacology, and clinical procedures. Their skillset introduces first aid, treatment, and basic scanning and psychology, providing the core competencies of a medical trainee. Their connections to academic institutions and biological science foundations, along with Latin proficiency, ground them in the medical establishment. The Medical student is the first step toward becoming a Doctor or a Ripperdoc, depending on whether they choose the legitimate or underground path."
